Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,0.1μ,
J1,HRS_ZX62-B-5PA_33_,1,MicroB,
J2,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J3,usb-PCB,1,USB_A,
J4,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
J5,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,120,
"R2, R3",0805,2,10k,
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,RESET,
SW2,SW_Push_1P1T_NO_CK_KSC7xxJ,1,BOOT,
U1,DIP-8_W7.62mm,1,~,
U2,TO-252-2,1,NJM72223,MC7805CT-BP
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
